Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Income share held by third 20%,SI.DST.03RD.20,Iceland,ISL,..,..,16.4,17.3,17.9,18,17.8,17.9,17.6,..,..,..
Income share held by third 20%,SI.DST.03RD.20,India,IND,..,..,..,..,..,15.3,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Indonesia,IDN,0,0,0,0,0,0,0,14.3,0,0,0,0
Income share held by third 20%,SI.DST.03RD.20,"Iran, Islamic Rep.",IRN,14.4,..,..,14.7,..,..,..,15.5,15.3,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Iraq,IRQ,..,..,..,..,..,..,17.1,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Ireland,IRL,..,..,17,16.7,16.9,16.7,16.6,16.7,16.7,16.9,..,..
Income share held by third 20%,SI.DST.03RD.20,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Israel,ISR,..,..,..,..,15.5,..,15.7,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Italy,ITA,..,..,17.1,17.1,17,16.9,16.9,17,17.2,17.2,..,..
Income share held by third 20%,SI.DST.03RD.20,Jamaica,JAM,14.5,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Japan,JPN,..,..,17.3,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Jordan,JOR,..,..,16.1,..,15.8,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Kazakhstan,KAZ,..,..,16.9,17.1,17.1,17.1,17.1,17.3,17.3,17.2,..,..
Income share held by third 20%,SI.DST.03RD.20,Kenya,KEN,..,..,..,..,..,..,..,..,..,14.6,..,..
Income share held by third 20%,SI.DST.03RD.20,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,"Korea, Rep.",KOR,..,..,17.2,..,17.3,..,17.5,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Kosovo,XKX,..,..,..,16.8,16.2,17.4,17.4,17.6,17.8,17.7,17.7,..
Income share held by third 20%,SI.DST.03RD.20,Kuwait,KWT,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Kyrgyz Republic,KGZ,..,16.4,16.7,16.7,16.9,17.1,17.3,16.9,17.2,16.8,17.1,..
Income share held by third 20%,SI.DST.03RD.20,Lao PDR,LAO,..,..,..,..,..,..,15.3,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Latvia,LVA,..,..,16.1,16.5,17.1,16.4,16.5,16.2,16.3,16.4,..,..
Income share held by third 20%,SI.DST.03RD.20,Lebanon,LBN,..,..,..,..,..,17,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Lesotho,LSO,..,..,..,..,11.9,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Liberia,LBR,..,..,..,..,..,..,..,..,16.5,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Lithuania,LTU,..,..,16.2,16.4,17.6,17.2,16.6,16.3,16,15.9,..,..
Income share held by third 20%,SI.DST.03RD.20,Luxembourg,LUX,..,..,16.7,17.2,17.3,17,16.5,17,17.2,16.7,..,..
Income share held by third 20%,SI.DST.03RD.20,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,"Macedonia, FYR",MKD,..,..,..,15.6,16.9,16.5,16.7,16.8,17.2,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Madagascar,MDG,..,..,..,..,14,..,14.1,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Malawi,MWI,..,..,..,..,13.4,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Malaysia,MYS,..,..,13.8,..,..,14.1,..,14.7,..,14.8,..,..
Income share held by third 20%,SI.DST.03RD.20,Maldives,MDV,..,..,..,15.7,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Mali,MLI,..,..,..,16.2,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Malta,MLT,..,..,17.5,17.4,17.6,17.6,17.6,17.5,17.6,17.5,..,..
Income share held by third 20%,SI.DST.03RD.20,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Mauritania,MRT,..,15.2,16.3,..,..,..,..,..,16.9,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Mauritius,MUS,..,..,..,..,..,..,15.7,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Mexico,MEX,..,12.3,13.9,..,13.7,..,13.5,..,13.4,..,14,..
Income share held by third 20%,SI.DST.03RD.20,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,15.3,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Moldova,MDA,..,15.8,16.1,16.6,16.6,16.9,17.1,17.3,17.4,17.5,17.4,..
Income share held by third 20%,SI.DST.03RD.20,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Mongolia,MNG,..,..,..,..,16.5,16.1,16.3,..,16.7,..,16.6,..
Income share held by third 20%,SI.DST.03RD.20,Montenegro,MNE,..,..,17,17,17.7,17,16.8,16.7,16.6,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Morocco,MAR,15,14.5,..,..,..,..,..,14.7,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Mozambique,MOZ,..,..,13.7,..,..,..,..,..,11.2,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Myanmar,MMR,..,..,..,..,..,..,..,..,..,15,..,..
Income share held by third 20%,SI.DST.03RD.20,Namibia,NAM,..,..,..,8.9,..,..,..,..,..,9.8,..,..
Income share held by third 20%,SI.DST.03RD.20,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Nepal,NPL,..,..,..,..,16.2,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Netherlands,NLD,..,..,17.3,17.6,17.7,17.6,17.6,17.5,17.4,17.5,..,..
Income share held by third 20%,SI.DST.03RD.20,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Nicaragua,NIC,..,..,..,14.1,..,..,..,..,13.7,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Niger,NER,..,..,..,..,..,16.2,..,..,16,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Nigeria,NGA,..,..,..,14.4,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by third 20%,SI.DST.03RD.20,Norway,NOR,..,..,17.7,17.9,18,18.2,18.1,17.9,17.9,17.7,..,..
