Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Income share held by second 20%,SI.DST.02ND.20,Kosovo,XKX,..,..,..,12.7,12.1,13.7,13.4,14.2,13.9,14,14,..
Income share held by second 20%,SI.DST.02ND.20,Kuwait,KWT,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Kyrgyz Republic,KGZ,..,12.7,12.6,13,13.3,13.5,13.9,13.3,13.8,13.4,13.9,..
Income share held by second 20%,SI.DST.02ND.20,Lao PDR,LAO,..,..,..,..,..,..,11.5,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Latvia,LVA,..,..,11.3,12.3,12.3,12.1,12.2,12.2,12.3,12.3,..,..
Income share held by second 20%,SI.DST.02ND.20,Lebanon,LBN,..,..,..,..,..,12.7,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Lesotho,LSO,..,..,..,..,6.8,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Liberia,LBR,..,..,..,..,..,..,..,..,12.1,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Lithuania,LTU,..,..,12.2,11.8,12.5,12.8,12.2,12,11.6,11.6,..,..
Income share held by second 20%,SI.DST.02ND.20,Luxembourg,LUX,..,..,12.6,12.7,12.9,12.4,11.8,12.5,12.9,12.1,..,..
Income share held by second 20%,SI.DST.02ND.20,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,"Macedonia, FYR",MKD,..,..,..,10.1,10.9,10.8,11.1,11.5,11.9,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Madagascar,MDG,..,..,..,..,10.2,..,10,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Malawi,MWI,..,..,..,..,9.3,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Malaysia,MYS,..,..,8.9,..,..,9.3,..,10.1,..,10.1,..,..
Income share held by second 20%,SI.DST.02ND.20,Maldives,MDV,..,..,..,11,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Mali,MLI,..,..,..,12.1,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Malta,MLT,..,..,13.3,13.2,13.4,13.5,13.5,13.6,13.5,13.4,..,..
Income share held by second 20%,SI.DST.02ND.20,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Mauritania,MRT,..,10.6,11.3,..,..,..,..,..,12.4,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Mauritius,MUS,..,..,..,..,..,..,11.8,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Mexico,MEX,..,7.9,9.6,..,9.4,..,9.3,..,9.4,..,9.8,..
Income share held by second 20%,SI.DST.02ND.20,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,10.7,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Moldova,MDA,..,11.5,12,12.2,12.5,12.9,13.2,13.4,13.7,13.7,14.1,..
Income share held by second 20%,SI.DST.02ND.20,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Mongolia,MNG,..,..,..,..,12.1,12,12,..,12.6,..,12.4,..
Income share held by second 20%,SI.DST.02ND.20,Montenegro,MNE,..,..,13,13,13.1,13.1,12.4,12.5,12.3,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Morocco,MAR,10.5,10.3,..,..,..,..,..,10.7,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Mozambique,MOZ,..,..,9.5,..,..,..,..,..,7.6,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Myanmar,MMR,..,..,..,..,..,..,..,..,..,11.3,..,..
Income share held by second 20%,SI.DST.02ND.20,Namibia,NAM,..,..,..,5.7,..,..,..,..,..,5.8,..,..
Income share held by second 20%,SI.DST.02ND.20,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Nepal,NPL,..,..,..,..,12.1,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Netherlands,NLD,..,..,13.5,13.8,13.8,13.8,13.9,13.8,13.7,13.9,..,..
Income share held by second 20%,SI.DST.02ND.20,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Nicaragua,NIC,..,..,..,9.6,..,..,..,..,9.2,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Niger,NER,..,..,..,..,..,12.7,..,..,11.8,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Nigeria,NGA,..,..,..,9.7,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Norway,NOR,..,..,14.2,14.4,14.5,14.4,14.4,14.2,14.2,14.1,..,..
Income share held by second 20%,SI.DST.02ND.20,Oman,OMN,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Pakistan,PAK,12.3,..,..,..,13.1,12.8,..,12.9,..,12.2,..,..
Income share held by second 20%,SI.DST.02ND.20,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Panama,PAN,..,6.5,7.3,7.6,7.8,7.8,7.8,7.7,8.1,8,8,..
Income share held by second 20%,SI.DST.02ND.20,Papua New Guinea,PNG,..,..,..,10,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Paraguay,PRY,10.3,..,8,8.4,8.1,7.7,8.8,8.6,8.3,8.7,8.6,..
Income share held by second 20%,SI.DST.02ND.20,Peru,PER,..,8.1,8.5,8.7,9.1,9.3,9.5,9.5,9.7,9.8,9.7,..
Income share held by second 20%,SI.DST.02ND.20,Philippines,PHL,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by second 20%,SI.DST.02ND.20,Poland,POL,..,..,..,..,..,..,..,..,..,..,..,..
