Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
GDP (current US$),NY.GDP.MKTP.CD,IDA only,IDX,186186474167.437,248603410062.969,629698302598.449,650408779278.029,738242979081.802,833522757636.59,881148790694.837,960195465079.505,1035220622681.81,1039478554734.75,1060271611687.89,1186015013019.41
GDP (current US$),NY.GDP.MKTP.CD,IDA total,IDA,310754984239.129,424694334595.434,1150019947728.75,1130980343557.6,1455845120196.72,1656436216739.23,1788045890061.4,1944276302494.37,2101886669975.45,2033399081295.74,1988820003334.38,2099617258914.78
GDP (current US$),NY.GDP.MKTP.CD,Late-demographic dividend,LTE,2027190670324.93,3402537908849.18,11652985617227.7,11265079521162.7,13514622752505.8,16481153458684.7,17631925299754.1,19013144237507.8,19700001139782.1,18464411762339.5,18467589315232.1,20452879964143.3
GDP (current US$),NY.GDP.MKTP.CD,Latin America & Caribbean,LCN,1170487297728.34,2287147799918.29,4584233320999.89,4306894981162.41,5340986877008.96,6073300034780.13,6134230329295.01,6283950806813.61,6404663412438.65,5504776411963.11,5360659105919.66,5954671133086.38
GDP (current US$),NY.GDP.MKTP.CD,Latin America & Caribbean (excluding high income),LAC,933616782795.849,1797538271308.65,3832672929453.84,3595623145995.27,4474792895301.12,5047012279657.33,5066106342536.36,5185317396876.6,5344270294030.11,4375646245549.31,4263791849337.86,4723050473503.12
GDP (current US$),NY.GDP.MKTP.CD,Latin America & the Caribbean (IDA & IBRD countries),TLA,1100860265738.55,2173569936380.78,4398562896048.96,4118809334451.44,5146370070706.23,5870414497159.35,5925332953070.06,6070269710668.72,6187003203791.49,5278058941120.62,5134441961597.49,5704712973686.92
GDP (current US$),NY.GDP.MKTP.CD,Least developed countries: UN classification,LDC,156900018586.6,203940727491.717,571465171245.081,582962413224.453,661534508039.736,757956474535.481,805121908439.357,874604129382.353,944663662255.262,928337701072.215,929671974133.327,1062642922681
GDP (current US$),NY.GDP.MKTP.CD,Low & middle income,LMY,3512119252267.66,5661660316309.36,16946313033280.4,16574576011098.2,20241819996730.1,23893758917864.3,25510297321131.2,27052759452828.6,28098670449772.5,26534605934364,26663561044210.5,29236806913808
GDP (current US$),NY.GDP.MKTP.CD,Low income,LIC,114493045917.734,141048127918.866,336094165812.671,352981055214.134,384820500564.596,436772411253.333,473081979379.35,516218637744.243,554429344381.762,530149517198.93,501779518531.243,549653601217.708
GDP (current US$),NY.GDP.MKTP.CD,Lower middle income,LMC,880288706165.545,1271162681568.72,3451889588377.23,3542299023533.36,4491457798285.15,5085109021677.27,5328244735636.7,5551655355159.18,5840971356255.32,5788817724236.97,6036798782954.65,6504155258937.75
GDP (current US$),NY.GDP.MKTP.CD,Middle East & North Africa,MEA,550751246591.596,966685046478.954,2647704729411.94,2368231329944.26,2767867931548.18,3282148441526.9,3575071654292.93,3552428411214.71,3566763468131.32,3141396548651.28,3142484003145.08,3265746599469.31
GDP (current US$),NY.GDP.MKTP.CD,Middle East & North Africa (excluding high income),MNA,..,451180870909.139,1235366170569.32,1195903054603.52,1383517141781.51,1568522347333.56,1728262060498.28,1623203517357.34,1597411125089.81,1435241663214.56,1444678670901.96,1431747940489.4
